,Dependent_Variable,VA,PV,GE,RQ,RL,CC
count,4545.0,4419.0,4419.0,4419.0,4419.0,4419.0,4419.0
mean,31.361738173817383,-0.03725018012853587,-0.04166799918171532,-0.0279702781774157,-0.02315734763068568,-0.04323352016904277,-0.028516053251640645
std,29.962367741766933,0.9953048213736629,1.002091329808125,0.9935158077734811,0.9911897224930011,1.0013531535648077,1.0058503528888658
min,0.0,-2.259264708,-3.312951088,-2.440228701,-2.547725677,-2.590877056,-1.93686974
25%,5.1,-0.8677928445,-0.6770383719999999,-0.764728427,-0.741508484,-0.8150483964999999,-0.8036020695
50%,21.2,-0.002288182,0.049528994,-0.175836548,-0.147598043,-0.199315324,-0.265468001
75%,52.8,0.8406437040000001,0.807315409,0.6677210929999999,0.7161461115,0.7261724175,0.6666513685
max,98.3,1.800991774,1.964210629,2.469659805,2.252235413,2.124761581,2.459118366
